mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,mel_128,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_centroid,zero_crossing_rate,recording_id,filename,label
-162.37108,114.084236,17.442232,34.860504,11.792038,8.038345,2.3410375,10.79285,-1.9595628,5.0298376,5.5510397,8.810263,4.758388,13.327139,17.234047,17.611326,11.235516,9.529768,8.213042,5.58629,3.8651142,0.66726243,1.214423,1.597049,0.59402627,1.8364046,1.2475053,0.9307338,-0.10598362,-0.66375595,-0.0722262,0.58351856,-1.201034,-1.3729779,-0.46863908,-1.2701657,-1.7003083,-3.8040051,-6.5848036,-7.724631,-7.0470405,-8.518983,-7.3339963,-7.80202,-10.239203,-11.177081,-10.8594675,-10.1785555,-9.874635,-11.056184,-12.5938,-11.5806265,-9.463381,-10.098593,-11.586158,-12.130692,-11.689332,-12.9646635,-13.943136,-12.825152,-12.786201,-13.2609625,-12.790697,-12.021453,-12.85299,-13.533391,-17.037722,-16.755737,-15.732966,-16.750843,-16.793598,-16.014322,-14.829072,-14.450855,-15.54787,-15.210623,-15.759542,-16.906206,-15.196734,-14.029752,-14.8671055,-14.708931,-16.234161,-16.46335,-16.760695,-17.129055,-17.249956,-16.074303,-15.8238535,-15.427711,-15.586526,-15.398854,-16.316017,-15.553452,-15.159585,-17.21118,-19.514812,-19.456121,-19.855215,-21.895653,-21.798965,-21.93957,-23.036098,-22.876356,-22.721422,-22.335049,-21.930264,-22.22858,-22.275747,-22.711575,-22.993694,-23.424961,-23.270622,-24.060703,-23.861635,-24.454699,-24.18335,-24.863401,-24.782774,-24.842392,-25.259447,-25.24738,-25.349407,-25.546717,-26.188734,-26.66904,-26.996868,-27.086952,-28.000824,-28.085157,-27.868752,-27.735336,-27.106588,-27.12706,-27.259039,-27.72863,-28.475348,-29.521362,-29.601055,-32.689873,-45.277527,0.79672414,0.6987909,0.6165583,0.55608255,0.504825,0.4665143,0.46079478,0.4250201,0.51888967,0.6631945,0.7212051,0.7818126,1065.6278423236479,0.036376953125,Tanker_8,Tanker_8_chunk23.wav,Vessels
9.8191185,93.50933,-5.4042363,16.58727,-1.6914566,17.680866,5.2858863,7.2118454,-2.9521887,3.8496692,6.175264,2.851546,-2.8312063,19.024807,19.420404,19.011452,17.530548,19.14249,15.524173,13.874299,13.341045,11.929782,11.324821,10.996998,12.228258,12.877611,13.265484,12.762342,9.34891,7.964743,7.4888663,8.36285,9.152426,7.521825,7.325938,7.6472597,7.384053,7.058288,7.8099294,7.7683935,8.092343,7.6760974,7.198668,7.11422,8.012649,7.3248754,6.917877,7.205161,6.385087,5.7825675,5.3598313,6.157921,6.2526903,5.87095,5.461042,6.792448,6.390614,6.303507,6.6183896,7.1284175,8.501376,7.831774,7.094823,6.5542693,7.2961426,6.071839,4.110473,4.0984135,4.7658186,3.8394208,3.5311334,1.1369854,0.5628861,-0.2953042,-0.34357467,-0.30196217,-0.23801202,0.642344,0.522396,-0.29427937,-0.9535461,-0.89422697,-1.8945794,-0.56749475,-0.5481467,-1.7448233,-2.0307453,-1.6060773,-1.4251387,-0.6910597,-1.0743607,-0.22062245,-0.7605382,-1.1024354,-1.6266168,-2.2251315,-2.2740965,-2.98278,-3.5789769,-3.6139615,-4.2397933,-3.8937004,-5.118363,-5.6659365,-6.094987,-6.032409,-5.1587815,-4.6698017,-4.845087,-4.6189814,-4.513926,-4.0930586,-4.239922,-5.5379715,-6.462781,-5.9709525,-6.6375012,-6.3215365,-6.5540843,-6.524811,-7.8403516,-8.361309,-9.337026,-9.80665,-9.762482,-10.366214,-11.26737,-12.707667,-12.724021,-12.2105255,-12.147992,-12.466003,-12.794048,-12.092044,-11.879853,-12.457669,-13.205708,-13.788659,-13.767976,-17.72059,-29.415756,0.6715485,0.70354074,0.7425202,0.772809,0.7533489,0.76371044,0.7057022,0.57290655,0.5462898,0.63930535,0.7377394,0.7093946,1673.987016362804,0.09167220744680851,Tanker_9,Tanker_9_chunk14.wav,Vessels
-108.76456,124.39503,21.671942,28.292772,15.838627,16.72617,9.449649,11.452087,4.4080167,9.027928,5.4682875,10.883041,1.7962382,22.56459,27.679674,28.649876,19.020628,18.185387,14.361758,12.445733,11.898174,8.589048,6.388848,6.1589127,5.153021,7.3279653,8.417273,8.434256,5.275481,2.3498764,1.6010395,-0.07424627,0.5382869,2.3229434,2.4091144,1.2531803,1.1419245,1.8051295,1.8775281,0.011787415,-2.175297,-3.989265,-3.3459346,-4.7757697,-4.3904843,-3.3038278,-2.8031511,-2.0600007,-1.3072466,-2.3509927,-5.8607225,-9.738687,-7.064195,-5.741257,-6.3326216,-7.515775,-4.8844275,-4.432239,-5.0008416,-4.874473,-4.814785,-5.677871,-4.5677047,-5.93619,-9.698304,-12.186914,-12.145643,-11.0270195,-9.094559,-7.9885616,-7.4363256,-7.587628,-8.101999,-8.591663,-11.137495,-12.487129,-11.899555,-12.410781,-14.020684,-13.375174,-12.994586,-12.067635,-11.275958,-11.356323,-11.612711,-12.752528,-13.128422,-13.787895,-14.642793,-14.6299,-13.817907,-12.884124,-12.714657,-14.144381,-16.449951,-17.142845,-17.298077,-19.012535,-17.570528,-16.679823,-17.128836,-18.196173,-17.4372,-18.04538,-17.722324,-16.93314,-16.876316,-17.554037,-18.759785,-18.838133,-20.37573,-21.05607,-20.458925,-20.117153,-21.160158,-21.616816,-21.62278,-21.574905,-21.628479,-21.264849,-20.937763,-21.175354,-21.95625,-22.334694,-22.001312,-22.379194,-23.046299,-23.461094,-23.192938,-23.895855,-23.364895,-22.329927,-22.039364,-21.955917,-23.235561,-23.40902,-23.26031,-23.940804,-24.703083,-27.80395,-39.430237,0.7941821,0.6945177,0.6221999,0.51411635,0.41332784,0.3752215,0.3934215,0.36337864,0.44567636,0.6135549,0.67919445,0.7794569,815.9893028436068,0.02128179022606383,Tanker_8,Tanker_8_chunk44.wav,Vessels
6.1571712,95.5913,-4.524734,16.876825,-1.9625069,17.54533,3.7873797,5.727674,-3.2897751,3.5702257,5.5456285,2.6574254,-2.8699377,18.083487,18.32404,17.87604,17.273281,18.888044,16.398306,14.233281,13.452816,11.965388,11.984516,11.385777,11.799179,13.058401,13.750129,13.184354,9.28678,8.286191,7.790877,9.406448,9.4639845,7.296516,7.24296,8.045271,7.924083,7.385643,8.399958,8.066772,7.19302,7.467174,6.6855993,7.070076,7.8681154,7.517124,6.8266554,6.641444,5.5545855,4.8832035,4.8698378,5.8256545,6.248934,5.375202,4.51005,5.9398594,5.777206,6.558443,6.8795214,7.264508,7.633999,7.3042173,6.1298614,5.7087274,6.6712017,5.8297534,4.052358,4.3586564,4.6397953,3.7289598,3.2352328,0.9485083,0.35248375,-0.51963955,-0.61599416,-0.88789296,-0.53376263,0.23638988,0.1458749,-0.17984474,-0.73396915,-1.4173795,-2.5099885,-1.2822821,-1.3501561,-1.93549,-2.48545,-2.615522,-2.214518,-1.8768001,-2.004906,-0.6907486,-0.7497343,-1.3511323,-2.077348,-2.8756847,-3.2633965,-3.8039258,-4.1783385,-4.2521167,-5.007821,-4.3501873,-5.4439855,-5.814387,-6.123124,-5.845084,-5.34085,-5.153095,-5.1333866,-5.1959324,-5.004254,-4.5321302,-5.1284604,-6.362448,-6.5838304,-6.227431,-6.906885,-6.688607,-7.2014937,-7.2843857,-8.353802,-8.622616,-9.676287,-9.7213,-10.05903,-11.060655,-11.769887,-13.256362,-13.415618,-12.705495,-12.837958,-13.277302,-13.344213,-12.753126,-12.6515255,-12.954346,-13.344978,-14.13178,-14.511642,-18.286514,-30.056086,0.678142,0.72820485,0.70677966,0.7653396,0.7585193,0.795251,0.6976328,0.54349923,0.5047186,0.57238543,0.7003268,0.65025973,1663.1698498879525,0.09628490691489362,Tanker_9,Tanker_9_chunk15.wav,Vessels
5.2738814,96.31891,-3.6809394,16.3762,-0.3080449,17.221512,3.7117333,5.9688363,-3.987965,3.1005952,5.13032,2.9466784,-2.7363584,18.222902,18.106625,17.91705,17.845783,18.85371,16.58329,14.773137,13.655403,12.191301,12.175786,11.153697,10.79176,13.162011,14.538502,14.845538,10.259618,8.246866,7.2503,9.088225,9.065973,7.6317334,7.4565377,8.153541,7.7710505,7.77667,7.8456993,7.8991146,6.937832,7.118063,6.2470994,6.6878343,7.3452144,7.588142,6.615486,6.6632314,5.7701097,4.693942,4.2619185,5.405691,6.1801558,5.4038415,4.6093917,5.9094324,5.7160273,6.387855,7.178794,7.8632016,7.0340776,6.922293,6.316293,6.203508,6.5213513,5.595001,4.039069,4.5299873,4.1676226,2.9526691,2.8797548,0.80940133,0.2423709,0.28212357,-0.38318264,-1.1631784,-0.8237534,-0.28425792,0.4406995,0.14986582,-0.2482952,-1.6782452,-2.1565976,-1.3485181,-1.9085411,-2.0985034,-2.3722868,-2.9377468,-1.7912233,-1.6609627,-1.5067391,-0.8638806,-0.7869783,-2.0334654,-2.7667603,-3.1428392,-3.4943554,-4.260382,-4.4646816,-4.763278,-5.5367055,-5.2683377,-5.700977,-5.782006,-6.1299314,-6.0051246,-5.754296,-5.6161404,-5.4161787,-5.604921,-5.7220383,-5.2121415,-6.217239,-6.98445,-6.9738846,-6.8035192,-6.89004,-7.1162724,-7.0160995,-7.6073103,-8.289417,-8.526824,-9.742948,-9.777215,-10.367774,-10.950677,-11.737476,-13.187819,-13.257878,-12.294314,-12.420344,-12.837973,-13.336222,-13.22656,-12.951612,-12.9976015,-13.476117,-13.777785,-14.028461,-17.882397,-29.900352,0.621068,0.6728385,0.6649477,0.7420062,0.71789837,0.8489823,0.6575655,0.5061534,0.4728546,0.5362627,0.6405601,0.5902236,1640.0769188882036,0.09360974900265957,Tanker_9,Tanker_9_chunk16.wav,Vessels
-107.10581,124.45121,22.108685,28.09217,16.315796,17.195993,9.741455,11.557934,3.9261086,8.632965,5.653315,11.534006,2.535656,23.152655,27.743464,28.783016,19.522282,18.217674,14.465961,13.207048,13.009315,8.786841,6.4505215,6.437892,4.9769816,7.1960235,8.200186,7.939473,5.2455616,2.7323956,1.8004415,-0.2534917,0.97419494,3.4893918,4.204296,1.3315657,0.97520024,1.3754836,1.6579882,0.10922477,-2.3887105,-5.23223,-3.8562837,-4.0690527,-3.6149828,-2.7004316,-2.929315,-2.4359446,-1.7250416,-3.0736346,-6.807238,-9.4695,-6.2550583,-5.292331,-4.993632,-6.494505,-4.8340435,-4.7342315,-4.261072,-3.8742998,-4.4071727,-6.0671096,-5.6300797,-6.7422285,-9.512916,-11.227701,-11.10487,-9.886836,-8.384594,-7.808335,-7.5167313,-8.378742,-8.814851,-8.767971,-10.985202,-12.630334,-12.306656,-12.627604,-13.559186,-12.6107025,-12.421807,-11.804965,-10.797121,-11.105583,-11.555869,-12.567631,-13.68518,-13.961246,-14.500667,-14.098949,-13.566747,-12.763377,-13.289654,-14.821902,-16.312212,-16.76931,-17.173302,-18.425005,-17.197489,-16.589304,-17.07054,-18.103563,-17.69828,-17.96093,-17.788336,-16.857302,-16.547121,-17.663857,-19.145966,-19.129564,-20.125256,-20.730299,-20.12586,-20.19562,-21.221106,-21.224586,-21.354597,-21.04247,-21.140902,-21.306664,-21.108173,-20.992775,-21.533579,-22.217548,-22.202631,-22.288282,-22.580395,-23.07123,-23.247255,-23.720022,-22.745296,-22.096111,-21.58837,-22.022038,-22.8712,-23.109037,-23.195717,-23.95385,-24.735754,-27.534275,-38.83071,0.69493264,0.6273684,0.52288556,0.44884256,0.38215372,0.4079785,0.37064284,0.42881754,0.58680505,0.6634256,0.76744306,0.809063,813.8129316606681,0.019874085771276594,Tanker_8,Tanker_8_chunk45.wav,Vessels
-109.635826,122.82698,21.972776,27.527363,14.912645,16.868246,9.117758,10.930797,3.745277,7.421443,4.441525,9.804853,1.2443149,21.667217,26.964678,27.843601,17.63829,17.428545,13.990876,11.088766,10.565112,8.270477,6.6942034,7.105871,6.36436,7.2597866,8.639839,9.1248045,6.052932,2.2470677,1.2560073,0.17644545,0.5498507,1.6957833,1.3500535,0.48934805,0.17317745,1.1283233,1.4280005,0.1253834,-1.9873532,-2.6859288,-2.6082563,-5.9071193,-6.0852532,-4.3351283,-3.6445465,-1.9563392,-0.39752272,-1.7393129,-5.250549,-8.566452,-6.59904,-6.037661,-7.1588173,-7.917078,-5.2298303,-5.1334715,-5.766408,-5.1820664,-4.819285,-4.8042784,-3.7529628,-4.843075,-8.186526,-11.199839,-13.056235,-13.276479,-11.385804,-9.47708,-7.5638475,-7.865188,-7.70198,-8.506168,-10.533798,-11.928823,-11.818955,-12.152776,-13.183973,-13.618826,-13.908491,-12.888015,-12.335679,-12.389357,-12.598942,-13.255518,-12.49785,-11.930537,-13.540913,-15.415297,-15.128023,-13.653267,-13.268579,-13.827072,-16.174774,-17.150234,-17.26199,-18.274,-18.714853,-17.573715,-17.177301,-18.14894,-17.373178,-18.27995,-17.462994,-17.344532,-16.566275,-16.862438,-18.197609,-18.364456,-19.719952,-21.32302,-21.037497,-20.06525,-20.49653,-21.34829,-21.539564,-21.500755,-21.210367,-21.034721,-21.002214,-21.02047,-21.998003,-21.607435,-21.718847,-22.04715,-22.877977,-23.188507,-23.204546,-23.312218,-23.84862,-22.883844,-22.609056,-22.02307,-22.658957,-23.74737,-22.929127,-23.262444,-24.229082,-27.487644,-39.34529,0.8088841,0.70798725,0.6080511,0.4730488,0.37357813,0.37996492,0.38271546,0.36717525,0.46169934,0.631836,0.6851197,0.8064365,857.8011002278043,0.02501662234042553,Tanker_8,Tanker_8_chunk43.wav,Vessels
6.2076845,95.551636,-2.3142815,16.1946,0.54474163,17.698668,4.1854167,6.398138,-4.52471,3.061081,5.681777,3.5017993,-2.3771262,18.424778,18.081877,18.893858,18.876373,19.058836,17.063532,15.2748995,13.783403,12.805886,12.087371,11.026501,10.711148,11.773837,14.329313,15.209488,10.092071,8.588343,7.8364277,9.555022,8.569682,7.823985,7.9482565,8.672643,7.6697483,7.710155,7.197899,7.2255425,7.0840755,7.1369176,6.122176,6.363645,7.1754384,7.1766496,6.142454,6.271013,5.6142755,4.6653275,4.177806,5.409298,6.2135267,5.8665304,5.0351067,6.251948,6.0472894,6.152778,6.859402,7.7525454,7.0505223,6.3769507,6.9139905,6.6364713,6.842459,5.537027,3.826901,4.586518,4.6458907,2.9660654,2.31313,0.82580584,0.17950541,0.41402426,-0.8751069,-1.1237991,-1.1086483,-0.03687341,-0.18882467,-0.11529874,-0.7849899,-1.7508634,-1.9846349,-1.3616195,-1.5746174,-2.200298,-2.0084083,-2.4505944,-1.8111002,-1.5114806,-1.4798975,-0.72497857,-1.160342,-2.062141,-2.7459877,-3.2438965,-3.5978842,-4.212164,-4.4671993,-4.625264,-5.3565273,-5.2914667,-5.9639387,-6.0822535,-6.1863995,-6.1130266,-6.080442,-5.638519,-5.171151,-5.1735754,-5.725152,-5.1819425,-6.164902,-7.039158,-7.092497,-6.6479545,-6.6434994,-6.9058447,-6.63403,-7.44891,-7.898992,-8.25832,-9.013451,-9.594803,-10.5211315,-10.613373,-11.137692,-12.5646515,-12.751265,-12.090407,-12.244213,-12.365931,-12.849698,-12.665837,-12.190702,-12.630928,-13.548867,-13.798778,-13.683936,-17.21757,-29.30377,0.6211333,0.6922246,0.6504751,0.6930015,0.68744123,0.8937606,0.6648016,0.5103664,0.46272606,0.52764696,0.6106479,0.5819746,1637.9511306660384,0.08951649767287234,Tanker_9,Tanker_9_chunk17.wav,Vessels
4.8427143,95.585075,-2.4185398,17.712246,0.09009586,21.545437,3.7872136,10.7432575,-2.2214537,5.764105,6.118678,3.8708737,-1.2375203,17.399876,20.104738,20.477009,21.145344,21.4039,19.74341,15.584739,14.69254,12.205243,11.159976,10.302949,10.564677,10.685967,12.993877,12.598712,8.02681,8.181178,7.1065974,7.610236,6.899418,7.8474894,6.6762085,8.610975,8.339629,7.4849186,7.108153,5.6551976,6.454152,6.189823,6.287883,6.233758,8.641349,7.4156404,7.037697,6.763892,5.7934656,4.933824,5.005574,4.9146857,5.167146,4.9806333,5.88066,6.368721,5.303753,5.842767,5.8288,7.13732,6.937789,6.812432,6.440094,6.640067,7.5732236,5.83336,3.8078325,2.858908,3.322832,2.6961732,2.509209,0.07110557,-0.2919149,-0.045929532,-0.062752806,0.24327672,-0.116566464,1.3067026,0.61253655,-0.37957266,-1.2407062,-2.1919196,-2.6376853,-2.0572479,-1.7826054,-2.2072747,-2.646812,-2.5408418,-1.9253875,-2.0415087,-1.818118,-1.2218544,-1.4389137,-2.2725854,-2.7320914,-3.1638348,-3.6984642,-5.3457527,-4.9928675,-5.3814173,-5.5516863,-5.1693044,-5.7601514,-5.560578,-5.803684,-6.2262754,-6.4267807,-6.1666923,-5.7472334,-5.483627,-5.663908,-5.5370646,-5.4190874,-5.636739,-5.7909145,-5.4484706,-7.0278397,-7.210819,-7.0912623,-6.9815044,-6.489245,-6.693941,-8.11185,-8.121204,-9.728185,-10.584295,-11.328897,-12.389914,-12.449807,-12.190727,-12.348119,-12.936646,-13.545088,-13.633556,-13.780154,-14.199233,-15.056776,-15.342741,-14.417732,-18.63258,-29.748854,0.7359041,0.74609673,0.6821492,0.7064453,0.6871766,0.732986,0.61649096,0.6019866,0.6216363,0.66398275,0.6264778,0.658451,1627.2493118421585,0.09236826795212766,Tanker_9,Tanker_9_chunk0.wav,Vessels
10.486726,93.28917,-5.660872,15.744246,-1.256943,17.45145,5.310121,8.170377,-3.5577238,3.939608,5.7150874,3.3375292,-2.9859369,17.52726,20.058283,19.935635,18.209082,18.767103,15.677721,13.203711,12.729409,11.629502,10.956237,11.187935,12.573645,13.747634,13.551098,12.585906,9.275302,7.7067943,7.173178,8.015738,8.356668,7.8967237,7.5716968,7.996652,7.6928062,7.177559,6.842591,7.1662116,8.471572,7.7039385,7.096366,7.327423,7.9498386,7.966289,7.1492724,7.5649652,6.961677,5.824555,5.6533504,5.9193873,6.2304664,5.6888475,5.925093,6.9375005,6.3498445,6.1715155,6.6404347,7.5165787,8.6077175,8.537794,7.9830604,7.2227855,7.6492395,6.1716704,4.44148,3.7117505,4.3803535,2.9686172,2.6535366,0.744479,0.5985707,0.38607672,0.43402922,-0.17963624,-0.017942464,0.73527175,0.70749784,-0.13966733,-0.9972352,-0.71051466,-1.1734933,-0.27002624,-0.505075,-1.3744093,-2.1181612,-1.8358672,-1.2232435,-0.7608165,-0.30424666,-0.18864894,-0.6493545,-1.0007626,-1.576061,-1.9679214,-2.346436,-3.3309522,-3.6417992,-4.21542,-4.59406,-4.1187234,-4.7871747,-5.1869483,-5.859597,-6.246185,-5.1031203,-4.651387,-5.1794214,-4.9386554,-5.03981,-4.9781733,-4.8351984,-5.421293,-6.09437,-6.126919,-6.5560327,-6.735253,-6.4149885,-6.3793197,-7.706336,-7.9755845,-8.904198,-9.633019,-9.507182,-10.188214,-11.276048,-12.032364,-12.277125,-11.561771,-11.526535,-12.456528,-12.541278,-12.113667,-11.89416,-12.36819,-13.498191,-13.633552,-13.557421,-17.552303,-29.573154,0.66420424,0.7306166,0.8204121,0.81220424,0.7591865,0.73802507,0.6181682,0.5531545,0.55748194,0.63480335,0.68898094,0.66592133,1705.8481036820783,0.10504280252659574,Tanker_9,Tanker_9_chunk13.wav,Vessels
