file,label,source_file,duration
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk0.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk1.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk2.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk3.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk4.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk5.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk6.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk7.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk8.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk9.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk10.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk11.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk12.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk13.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk14.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk15.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk16.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk17.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk18.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk19.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk20.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk21.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk22.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk23.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk24.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk25.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk26.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk27.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk28.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk29.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk30.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk31.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk32.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk33.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk34.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk35.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk36.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk37.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk38.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk39.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk40.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk41.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk42.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk43.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk44.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk45.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk46.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk47.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
/content/drive/MyDrive/Underwater Audio Data/processed/Vessels/Cargo_6_chunk48.wav,Vessels,/content/drive/MyDrive/Underwater Audio Data/data/Vessels/Cargo_6.wav,3.0
