mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,mel_128,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_centroid,zero_crossing_rate
9.8191185,93.50933,-5.4042363,16.58727,-1.6914566,17.680866,5.2858863,7.2118454,-2.9521887,3.8496692,6.175264,2.851546,-2.8312063,19.024807,19.420404,19.011452,17.530548,19.14249,15.524173,13.874299,13.341045,11.929782,11.324821,10.996998,12.228258,12.877611,13.265484,12.762342,9.34891,7.964743,7.4888663,8.36285,9.152426,7.521825,7.325938,7.6472597,7.384053,7.058288,7.8099294,7.7683935,8.092343,7.6760974,7.198668,7.11422,8.012649,7.3248754,6.917877,7.205161,6.385087,5.7825675,5.3598313,6.157921,6.2526903,5.87095,5.461042,6.792448,6.390614,6.303507,6.6183896,7.1284175,8.501376,7.831774,7.094823,6.5542693,7.2961426,6.071839,4.110473,4.0984135,4.7658186,3.8394208,3.5311334,1.1369854,0.5628861,-0.2953042,-0.34357467,-0.30196217,-0.23801202,0.642344,0.522396,-0.29427937,-0.9535461,-0.89422697,-1.8945794,-0.56749475,-0.5481467,-1.7448233,-2.0307453,-1.6060773,-1.4251387,-0.6910597,-1.0743607,-0.22062245,-0.7605382,-1.1024354,-1.6266168,-2.2251315,-2.2740965,-2.98278,-3.5789769,-3.6139615,-4.2397933,-3.8937004,-5.118363,-5.6659365,-6.094987,-6.032409,-5.1587815,-4.6698017,-4.845087,-4.6189814,-4.513926,-4.0930586,-4.239922,-5.5379715,-6.462781,-5.9709525,-6.6375012,-6.3215365,-6.5540843,-6.524811,-7.8403516,-8.361309,-9.337026,-9.80665,-9.762482,-10.366214,-11.26737,-12.707667,-12.724021,-12.2105255,-12.147992,-12.466003,-12.794048,-12.092044,-11.879853,-12.457669,-13.205708,-13.788659,-13.767976,-17.72059,-29.415756,0.6715485,0.70354074,0.7425202,0.772809,0.7533489,0.76371044,0.7057022,0.57290655,0.5462898,0.63930535,0.7377394,0.7093946,1673.987016362804,0.0916722074468085
6.1571712,95.5913,-4.524734,16.876825,-1.9625069,17.54533,3.7873797,5.727674,-3.2897751,3.5702257,5.5456285,2.6574254,-2.8699377,18.083487,18.32404,17.87604,17.273281,18.888044,16.398306,14.233281,13.452816,11.965388,11.984516,11.385777,11.799179,13.058401,13.750129,13.184354,9.28678,8.286191,7.790877,9.406448,9.4639845,7.296516,7.24296,8.045271,7.924083,7.385643,8.399958,8.066772,7.19302,7.467174,6.6855993,7.070076,7.8681154,7.517124,6.8266554,6.641444,5.5545855,4.8832035,4.8698378,5.8256545,6.248934,5.375202,4.51005,5.9398594,5.777206,6.558443,6.8795214,7.264508,7.633999,7.3042173,6.1298614,5.7087274,6.6712017,5.8297534,4.052358,4.3586564,4.6397953,3.7289598,3.2352328,0.9485083,0.35248375,-0.51963955,-0.61599416,-0.88789296,-0.53376263,0.23638988,0.1458749,-0.17984474,-0.73396915,-1.4173795,-2.5099885,-1.2822821,-1.3501561,-1.93549,-2.48545,-2.615522,-2.214518,-1.8768001,-2.004906,-0.6907486,-0.7497343,-1.3511323,-2.077348,-2.8756847,-3.2633965,-3.8039258,-4.1783385,-4.2521167,-5.007821,-4.3501873,-5.4439855,-5.814387,-6.123124,-5.845084,-5.34085,-5.153095,-5.1333866,-5.1959324,-5.004254,-4.5321302,-5.1284604,-6.362448,-6.5838304,-6.227431,-6.906885,-6.688607,-7.2014937,-7.2843857,-8.353802,-8.622616,-9.676287,-9.7213,-10.05903,-11.060655,-11.769887,-13.256362,-13.415618,-12.705495,-12.837958,-13.277302,-13.344213,-12.753126,-12.6515255,-12.954346,-13.344978,-14.13178,-14.511642,-18.286514,-30.056086,0.678142,0.72820485,0.70677966,0.7653396,0.7585193,0.795251,0.6976328,0.54349923,0.5047186,0.57238543,0.7003268,0.65025973,1663.1698498879523,0.0962849069148936
5.2738814,96.31891,-3.6809394,16.3762,-0.3080449,17.221512,3.7117333,5.9688363,-3.987965,3.1005952,5.13032,2.9466784,-2.7363584,18.222902,18.106625,17.91705,17.845783,18.85371,16.58329,14.773137,13.655403,12.191301,12.175786,11.153697,10.79176,13.162011,14.538502,14.845538,10.259618,8.246866,7.2503,9.088225,9.065973,7.6317334,7.4565377,8.153541,7.7710505,7.77667,7.8456993,7.8991146,6.937832,7.118063,6.2470994,6.6878343,7.3452144,7.588142,6.615486,6.6632314,5.7701097,4.693942,4.2619185,5.405691,6.1801558,5.4038415,4.6093917,5.9094324,5.7160273,6.387855,7.178794,7.8632016,7.0340776,6.922293,6.316293,6.203508,6.5213513,5.595001,4.039069,4.5299873,4.1676226,2.9526691,2.8797548,0.80940133,0.2423709,0.28212357,-0.38318264,-1.1631784,-0.8237534,-0.28425792,0.4406995,0.14986582,-0.2482952,-1.6782452,-2.1565976,-1.3485181,-1.9085411,-2.0985034,-2.3722868,-2.9377468,-1.7912233,-1.6609627,-1.5067391,-0.8638806,-0.7869783,-2.0334654,-2.7667603,-3.1428392,-3.4943554,-4.260382,-4.4646816,-4.763278,-5.5367055,-5.2683377,-5.700977,-5.782006,-6.1299314,-6.0051246,-5.754296,-5.6161404,-5.4161787,-5.604921,-5.7220383,-5.2121415,-6.217239,-6.98445,-6.9738846,-6.8035192,-6.89004,-7.1162724,-7.0160995,-7.6073103,-8.289417,-8.526824,-9.742948,-9.777215,-10.367774,-10.950677,-11.737476,-13.187819,-13.257878,-12.294314,-12.420344,-12.837973,-13.336222,-13.22656,-12.951612,-12.9976015,-13.476117,-13.777785,-14.028461,-17.882397,-29.900352,0.621068,0.6728385,0.6649477,0.7420062,0.71789837,0.8489823,0.6575655,0.5061534,0.4728546,0.5362627,0.6405601,0.5902236,1640.0769188882036,0.0936097490026595
6.2076845,95.551636,-2.3142815,16.1946,0.54474163,17.698668,4.1854167,6.398138,-4.52471,3.061081,5.681777,3.5017993,-2.3771262,18.424778,18.081877,18.893858,18.876373,19.058836,17.063532,15.2748995,13.783403,12.805886,12.087371,11.026501,10.711148,11.773837,14.329313,15.209488,10.092071,8.588343,7.8364277,9.555022,8.569682,7.823985,7.9482565,8.672643,7.6697483,7.710155,7.197899,7.2255425,7.0840755,7.1369176,6.122176,6.363645,7.1754384,7.1766496,6.142454,6.271013,5.6142755,4.6653275,4.177806,5.409298,6.2135267,5.8665304,5.0351067,6.251948,6.0472894,6.152778,6.859402,7.7525454,7.0505223,6.3769507,6.9139905,6.6364713,6.842459,5.537027,3.826901,4.586518,4.6458907,2.9660654,2.31313,0.82580584,0.17950541,0.41402426,-0.8751069,-1.1237991,-1.1086483,-0.03687341,-0.18882467,-0.11529874,-0.7849899,-1.7508634,-1.9846349,-1.3616195,-1.5746174,-2.200298,-2.0084083,-2.4505944,-1.8111002,-1.5114806,-1.4798975,-0.72497857,-1.160342,-2.062141,-2.7459877,-3.2438965,-3.5978842,-4.212164,-4.4671993,-4.625264,-5.3565273,-5.2914667,-5.9639387,-6.0822535,-6.1863995,-6.1130266,-6.080442,-5.638519,-5.171151,-5.1735754,-5.725152,-5.1819425,-6.164902,-7.039158,-7.092497,-6.6479545,-6.6434994,-6.9058447,-6.63403,-7.44891,-7.898992,-8.25832,-9.013451,-9.594803,-10.5211315,-10.613373,-11.137692,-12.5646515,-12.751265,-12.090407,-12.244213,-12.365931,-12.849698,-12.665837,-12.190702,-12.630928,-13.548867,-13.798778,-13.683936,-17.21757,-29.30377,0.6211333,0.6922246,0.6504751,0.6930015,0.68744123,0.8937606,0.6648016,0.5103664,0.46272606,0.52764696,0.6106479,0.5819746,1637.9511306660384,0.0895164976728723
4.8427143,95.585075,-2.4185398,17.712246,0.09009586,21.545437,3.7872136,10.7432575,-2.2214537,5.764105,6.118678,3.8708737,-1.2375203,17.399876,20.104738,20.477009,21.145344,21.4039,19.74341,15.584739,14.69254,12.205243,11.159976,10.302949,10.564677,10.685967,12.993877,12.598712,8.02681,8.181178,7.1065974,7.610236,6.899418,7.8474894,6.6762085,8.610975,8.339629,7.4849186,7.108153,5.6551976,6.454152,6.189823,6.287883,6.233758,8.641349,7.4156404,7.037697,6.763892,5.7934656,4.933824,5.005574,4.9146857,5.167146,4.9806333,5.88066,6.368721,5.303753,5.842767,5.8288,7.13732,6.937789,6.812432,6.440094,6.640067,7.5732236,5.83336,3.8078325,2.858908,3.322832,2.6961732,2.509209,0.07110557,-0.2919149,-0.045929532,-0.062752806,0.24327672,-0.116566464,1.3067026,0.61253655,-0.37957266,-1.2407062,-2.1919196,-2.6376853,-2.0572479,-1.7826054,-2.2072747,-2.646812,-2.5408418,-1.9253875,-2.0415087,-1.818118,-1.2218544,-1.4389137,-2.2725854,-2.7320914,-3.1638348,-3.6984642,-5.3457527,-4.9928675,-5.3814173,-5.5516863,-5.1693044,-5.7601514,-5.560578,-5.803684,-6.2262754,-6.4267807,-6.1666923,-5.7472334,-5.483627,-5.663908,-5.5370646,-5.4190874,-5.636739,-5.7909145,-5.4484706,-7.0278397,-7.210819,-7.0912623,-6.9815044,-6.489245,-6.693941,-8.11185,-8.121204,-9.728185,-10.584295,-11.328897,-12.389914,-12.449807,-12.190727,-12.348119,-12.936646,-13.545088,-13.633556,-13.780154,-14.199233,-15.056776,-15.342741,-14.417732,-18.63258,-29.748854,0.7359041,0.74609673,0.6821492,0.7064453,0.6871766,0.732986,0.61649096,0.6019866,0.6216363,0.66398275,0.6264778,0.658451,1627.2493118421585,0.0923682679521276
10.486726,93.28917,-5.660872,15.744246,-1.256943,17.45145,5.310121,8.170377,-3.5577238,3.939608,5.7150874,3.3375292,-2.9859369,17.52726,20.058283,19.935635,18.209082,18.767103,15.677721,13.203711,12.729409,11.629502,10.956237,11.187935,12.573645,13.747634,13.551098,12.585906,9.275302,7.7067943,7.173178,8.015738,8.356668,7.8967237,7.5716968,7.996652,7.6928062,7.177559,6.842591,7.1662116,8.471572,7.7039385,7.096366,7.327423,7.9498386,7.966289,7.1492724,7.5649652,6.961677,5.824555,5.6533504,5.9193873,6.2304664,5.6888475,5.925093,6.9375005,6.3498445,6.1715155,6.6404347,7.5165787,8.6077175,8.537794,7.9830604,7.2227855,7.6492395,6.1716704,4.44148,3.7117505,4.3803535,2.9686172,2.6535366,0.744479,0.5985707,0.38607672,0.43402922,-0.17963624,-0.017942464,0.73527175,0.70749784,-0.13966733,-0.9972352,-0.71051466,-1.1734933,-0.27002624,-0.505075,-1.3744093,-2.1181612,-1.8358672,-1.2232435,-0.7608165,-0.30424666,-0.18864894,-0.6493545,-1.0007626,-1.576061,-1.9679214,-2.346436,-3.3309522,-3.6417992,-4.21542,-4.59406,-4.1187234,-4.7871747,-5.1869483,-5.859597,-6.246185,-5.1031203,-4.651387,-5.1794214,-4.9386554,-5.03981,-4.9781733,-4.8351984,-5.421293,-6.09437,-6.126919,-6.5560327,-6.735253,-6.4149885,-6.3793197,-7.706336,-7.9755845,-8.904198,-9.633019,-9.507182,-10.188214,-11.276048,-12.032364,-12.277125,-11.561771,-11.526535,-12.456528,-12.541278,-12.113667,-11.89416,-12.36819,-13.498191,-13.633552,-13.557421,-17.552303,-29.573154,0.66420424,0.7306166,0.8204121,0.81220424,0.7591865,0.73802507,0.6181682,0.5531545,0.55748194,0.63480335,0.68898094,0.66592133,1705.8481036820783,0.1050428025265957
5.7057476,95.166245,-1.6523746,16.448425,-0.4798364,21.233116,4.288121,10.47562,-2.221203,6.3966985,6.2649827,3.8973274,-0.33648825,18.333344,19.739187,20.088446,21.224169,21.797007,19.67985,15.1554165,14.41183,12.0056505,10.984745,9.976549,10.10252,10.83113,12.543241,12.210018,8.296856,7.905909,7.320092,7.522674,7.458299,8.260068,7.642801,8.5521345,8.289441,7.81118,6.9506493,6.3831353,6.3519106,6.16759,6.3317585,6.6324134,9.419192,7.4482064,6.834348,6.443873,6.0423245,5.3720016,5.247154,5.975387,5.8122773,5.2687497,4.8845015,6.0407124,6.1448684,6.097373,6.4846897,7.1401496,7.255716,7.0286865,6.438721,5.9658413,7.541307,6.1479115,3.2965565,3.441344,3.6984727,3.0504377,2.4032204,-0.31132215,-0.74998504,0.010595345,0.36440247,0.43708172,-0.32360506,1.0937155,0.60317004,-0.2868293,-1.7562176,-2.6916437,-2.6385052,-2.08916,-2.8970883,-2.3435864,-2.8221438,-2.7341347,-2.2781677,-2.3545222,-1.5969338,-1.119415,-1.2432629,-2.504725,-2.6982317,-3.406057,-3.5840805,-4.4331436,-4.883536,-5.4528627,-5.718048,-5.178634,-5.4091573,-5.6019588,-5.4761996,-6.1193433,-6.4829354,-6.368177,-6.051753,-5.188296,-5.4915338,-5.633705,-5.4981546,-5.5048213,-6.2855525,-5.8321366,-6.5241094,-7.0129766,-6.9183855,-6.7823086,-6.2436295,-6.4948215,-8.142861,-7.9875865,-9.194251,-10.209213,-11.086875,-12.304451,-12.424122,-11.757341,-12.1681,-12.721518,-13.400344,-13.14062,-13.591194,-13.871557,-14.40194,-14.870817,-14.092178,-18.081026,-29.378042,0.73291844,0.7347133,0.6795629,0.68771785,0.6477062,0.7025833,0.6243364,0.5946722,0.6000841,0.6537878,0.63301617,0.6575696,1631.4418081952035,0.0950486203457446
9.433681,93.41934,-5.0985985,14.942802,-0.8644766,17.752516,4.6675644,7.872388,-3.3536348,5.214996,6.185796,4.5330353,-2.24899,17.85747,20.19341,20.186253,19.181513,18.480726,15.564827,12.860445,12.35768,11.507546,11.342666,10.751257,11.958607,12.344562,12.989979,12.037426,8.384189,7.477147,7.5965023,9.068102,8.610472,7.803058,7.7157536,8.636474,8.483864,7.5433292,6.467292,7.4702287,8.292378,7.7607102,7.0732985,6.942071,7.90191,7.488238,7.010874,7.2788486,7.0984783,5.484408,5.52686,5.5086546,6.5022855,5.478081,5.875801,6.711236,5.5838404,6.024724,6.732814,7.1059566,7.808482,8.154277,7.9590616,8.086994,7.963011,7.0913877,4.5542207,4.2968197,4.2543993,2.4860978,2.0305529,1.2151607,0.29741144,0.09326244,0.81386995,0.054911375,0.16626261,0.80190927,0.15977328,-0.4748016,-0.97951037,-0.79811037,-1.11674,-0.47924948,-0.3083162,-1.7545679,-2.403735,-2.3161635,-1.7694714,-1.2001158,-0.92995995,-0.731485,-0.7640526,-1.1867348,-1.8743712,-2.357571,-3.0336301,-3.796833,-3.9235747,-4.288691,-4.698356,-4.651266,-4.7786255,-5.194618,-5.2503543,-5.662253,-5.512047,-5.4417605,-5.737997,-5.10518,-5.2043777,-5.7319045,-5.4268165,-5.604325,-5.874698,-6.217028,-6.729399,-6.9083843,-6.458035,-6.586705,-7.639001,-8.148828,-8.335832,-9.178694,-9.739717,-10.568616,-11.15358,-11.580332,-11.964315,-11.103539,-11.57366,-12.4753895,-12.448098,-12.197862,-12.0532055,-12.280517,-13.599473,-13.7822075,-13.574451,-17.317755,-29.833307,0.6548591,0.73157763,0.80717826,0.79483217,0.7948216,0.7872525,0.61721677,0.55841035,0.55193627,0.6288163,0.6837689,0.6608249,1710.548721886173,0.110341173537234
7.3932447,95.04874,-1.7571143,16.031223,-1.2286654,19.76885,3.9307923,8.963824,-3.374214,6.604086,6.162413,4.3648925,-1.8763055,18.612324,19.643795,19.941984,19.99778,20.508894,17.514162,14.9993725,14.222943,12.664641,11.674859,9.55667,11.302156,11.369319,13.236507,12.963179,8.8955765,8.191221,7.721798,8.025321,7.473496,7.1331906,8.581766,9.768681,8.783733,7.932807,6.4570312,7.101484,7.8412237,7.861696,6.8338532,7.0829163,8.847283,7.811435,7.0364776,6.2945843,5.680077,4.7748322,5.0874357,6.150777,6.0616236,4.6531377,5.262593,5.979737,6.3928785,6.0517664,6.207283,7.4780774,8.017813,7.0136886,7.760541,7.28151,6.8704953,5.631421,3.225277,3.3351169,3.5046012,2.9864411,3.001062,0.89242333,-0.24960928,-0.05124085,-0.20738822,0.6436997,0.6510594,0.8708325,-0.267995,-1.7459502,-2.093551,-2.7041934,-2.5920413,-1.3789968,-1.2100486,-2.9995997,-2.8309648,-3.0598905,-2.3806689,-1.7080326,-1.6878836,-0.9871673,-0.47496447,-1.2255006,-1.9862379,-2.40113,-3.834618,-4.8441043,-4.684128,-5.7672567,-5.50883,-5.492592,-5.462873,-5.5501366,-5.054714,-5.408236,-5.477816,-5.8413744,-5.497438,-5.132858,-5.2198005,-5.259368,-5.439062,-5.873303,-6.506245,-5.998375,-7.0148945,-7.012451,-7.460205,-7.0696316,-6.386236,-6.951226,-8.02296,-8.201167,-8.745839,-9.50806,-11.168465,-11.753027,-11.822087,-11.511022,-11.610592,-12.332551,-12.83095,-13.35713,-13.24894,-13.310619,-14.022596,-14.854671,-13.822349,-17.623407,-29.968092,0.6586226,0.7251499,0.7306013,0.6774485,0.6947282,0.7968806,0.6042621,0.55845326,0.55435187,0.62121755,0.6320137,0.60949403,1658.3255383124883,0.0998690990691489
8.126864,94.16767,-3.3919506,15.490553,-1.7829006,20.098495,4.1247616,8.195207,-3.6517382,5.1247573,6.5712657,5.0429215,-0.2208456,18.174543,20.92801,20.468576,19.431818,19.536242,16.736725,14.126049,12.762634,10.778161,11.005648,9.94703,11.620738,10.709786,12.651377,12.16082,9.475964,8.526066,8.223034,9.449449,8.248983,7.852668,7.7108483,8.805146,8.391678,8.181273,7.237958,7.293083,7.317858,7.4217973,5.6699204,6.888966,8.450465,7.5691724,5.8173833,5.9471645,5.982546,5.7792163,5.8231554,5.581872,6.005042,5.9132795,6.153324,6.839069,6.773141,6.204035,6.2788754,7.9403133,8.142026,7.4647307,7.272366,7.8548536,7.2232447,6.7765856,3.6933475,3.1386838,4.1645555,3.120948,3.2992475,0.9083385,-0.04996505,-0.42943615,-0.008557628,0.2694007,0.0048608235,0.7843992,-0.5559663,-1.0994681,-1.6304317,-2.0019035,-1.6380899,-0.7407361,-1.01438,-2.2651217,-2.327092,-2.4726803,-2.7506573,-2.2512438,-1.9729272,-1.0957087,-0.99016666,-1.6559063,-2.218165,-2.5569346,-3.3200924,-4.099317,-4.3731728,-4.9976506,-5.233781,-4.865969,-4.918775,-4.826432,-5.088962,-6.0108175,-5.332376,-5.5620418,-5.311431,-5.4297166,-5.706589,-4.99432,-5.13222,-5.5050187,-5.980736,-5.697252,-6.448545,-5.779491,-6.0969567,-7.161365,-6.8113337,-7.3235755,-7.979209,-8.616916,-9.109437,-10.194203,-11.700557,-11.798547,-12.298513,-11.570139,-12.122214,-12.71912,-12.628026,-12.655048,-12.641236,-13.343672,-13.761203,-14.42126,-14.212833,-17.83602,-29.621899,0.6395006,0.71435726,0.76739275,0.6999075,0.70414764,0.78407055,0.6132787,0.5627484,0.5246153,0.6285649,0.684271,0.6300539,1678.325646993121,0.1016508061835106
